City,Country,Lat,Lng,Humidity,Max Temp,Wind Speed,Cloudiness
nemuro,JP,43.32,145.57,72,17.0,3.6,75
ketchikan,US,55.34,-131.65,72,18.0,6.2,75
paka,CF,4.15,15.03,99,19.56,1.21,12
adrar,DZ,27.87,-0.29,14,33.0,4.6,0
fonte boa,BR,-2.51,-66.09,87,24.88,2.18,71
diffa,NE,13.32,12.61,29,33.16,4.54,0
port alfred,ZA,-33.59,26.89,61,18.33,3.58,10
ginir,ET,7.14,40.71,93,13.55,3.51,79
haines junction,CA,60.75,-137.51,40,23.78,2.62,97
suntar,RU,62.16,117.65,35,31.42,1.52,17
sault sainte marie,CA,46.49,-84.36,60,21.0,3.6,1
saint-augustin,CA,45.63,-73.98,72,20.0,3.1,20
yulara,AU,-25.24,130.99,28,15.0,2.1,0
aksehir,TR,38.36,31.42,83,8.53,2.78,0
cortez,US,37.35,-108.58,29,26.0,2.1,1
pokosnoye,RU,55.53,101.05,38,27.18,2.52,0
oranjestad,AW,12.52,-70.03,78,28.0,7.7,20
mugan,CN,35.94,101.38,46,16.64,1.31,73
northam,AU,-31.65,116.67,93,15.0,2.1,61
ribeira grande,PT,38.52,-28.7,92,20.35,6.51,73
ulladulla,AU,-35.36,150.48,47,13.33,4.6,0
sorland,NO,67.67,12.69,82,7.95,12.08,100
semnan,IR,35.58,53.39,26,29.0,2.63,0
salalah,OM,17.01,54.1,94,27.0,2.1,90
halifax,CA,44.65,-63.58,100,15.0,3.6,90
hasaki,JP,35.73,140.83,100,22.78,2.6,75
kholm-zhirkovskiy,RU,55.52,33.47,83,14.31,3.62,36
mahebourg,MU,-20.41,57.7,73,21.0,4.1,40
rincon,PA,8.46,-82.28,94,26.0,1.5,40
thompson,CA,55.74,-97.86,77,17.0,7.2,75
herat,AF,34.35,62.22,14,29.78,4.63,0
lucani,RS,43.86,20.14,72,16.0,1.0,0
jamestown,AU,-33.21,138.6,49,12.78,6.36,100
araouane,ML,18.9,-3.53,25,34.73,4.52,0
saint-georges,CA,46.12,-70.67,90,15.0,1.01,11
pauini,BR,-7.71,-67.0,67,25.82,0.73,100
prykolotne,UA,50.16,37.35,88,13.0,2.52,10
zboriste,BA,45.15,16.02,93,18.0,1.34,0
lebu,ET,8.96,38.73,90,13.28,0.76,97
iqaluit,CA,63.75,-68.52,81,6.0,5.7,20
piacabucu,BR,-10.41,-36.43,83,23.25,3.1,1
mar del plata,AR,-46.43,-67.52,71,0.9,10.78,98
kushiro,JP,43.11,144.15,87,14.0,3.6,75
rawson,AR,-43.3,-65.11,60,0.49,5.01,24
jawhar,IN,19.91,73.23,94,24.12,2.33,100
souillac,FR,45.6,-0.6,77,20.0,2.6,20
papara,BR,-3.98,-38.73,78,26.0,6.2,75
verkhoyansk,RU,67.55,133.39,32,21.31,3.75,100
sokolo,ML,14.74,-6.12,45,31.06,3.92,0
necochea,AR,-38.55,-58.74,83,7.22,3.58,0
ca mau,VN,9.18,105.15,69,30.54,4.48,90
karratha,AU,-20.74,116.85,15,26.9,5.65,0
aksu,KZ,52.04,76.93,72,15.0,3.0,0
cabra,ES,37.47,-4.43,78,22.0,3.1,0
yar-sale,RU,66.83,70.83,73,18.31,6.49,100
avera,US,33.19,-82.53,74,31.0,1.5,1
nanortalik,GL,60.14,-45.24,76,2.56,1.06,67
severo-kurilsk,RU,50.68,156.12,93,6.72,7.07,0
anadyr,RU,64.73,177.51,45,19.0,8.0,20
constitucion,MX,23.99,-104.67,43,21.0,7.2,75
breves,BR,-1.68,-50.48,98,22.6,1.17,72
nouadhibou,MR,20.93,-17.03,73,21.0,9.8,0
ginda,IN,30.69,78.49,78,27.0,2.1,75
vestmannaeyjar,IS,63.44,-20.27,79,10.88,1.71,100
batouri,CM,4.44,14.36,98,19.66,1.74,45
ewa beach,US,21.32,-158.01,100,29.44,2.1,75
mahanoro,MG,-19.9,48.8,79,18.41,1.07,100
okha,RU,53.59,142.95,61,14.92,7.74,0
sharjah,AE,25.36,55.39,46,33.0,2.6,0
homer,US,59.64,-151.54,67,25.0,7.7,1
kijang,KR,35.24,129.21,61,27.0,2.6,100
sucre,BO,-19.05,-65.26,71,13.0,4.6,0
kavaratti,IN,10.57,72.64,74,28.68,7.03,94
camacha,PT,33.08,-16.33,72,20.0,4.1,20
kibre mengist,ET,5.87,38.99,96,12.02,0.16,100
thinadhoo,MV,0.53,72.93,73,28.56,1.89,36
brownsville,US,25.91,-97.49,70,30.0,6.2,1
diego de almagro,CL,-26.39,-70.05,92,6.3,0.12,100
meiktila,MM,20.88,95.86,77,26.0,9.92,100
berlevag,NO,70.86,29.09,77,7.03,5.68,0
upernavik,GL,72.79,-56.15,82,4.52,1.93,13
borogontsy,RU,62.67,131.17,35,26.04,1.92,0
ucluelet,CA,48.94,-125.55,64,25.0,5.1,5
kahului,US,20.89,-156.47,88,26.0,5.7,90
arraial do cabo,BR,-22.97,-42.02,69,22.41,3.31,0
mildura,AU,-34.18,142.16,61,10.56,4.1,100
san carlos del zulia,VE,9.0,-71.91,88,25.39,0.48,100
norman wells,CA,65.28,-126.83,38,15.0,9.3,75
brae,GB,60.4,-1.35,100,11.0,5.7,100
sosnovo-ozerskoye,RU,52.53,111.54,38,23.25,2.84,56
coos bay,US,43.37,-124.22,77,18.33,8.7,75
carnarvon,ZA,-30.97,22.13,78,5.3,10.11,100
rocha,UY,-34.48,-54.34,89,6.94,3.96,0
tighina,RO,44.57,24.3,68,18.33,1.5,0
tautira,PF,-17.73,-149.15,61,26.0,1.5,75
katsuura,JP,33.93,134.5,94,25.0,2.1,75
barrow,AR,-38.31,-60.23,71,3.25,5.44,0
portland,US,43.66,-70.25,93,17.22,2.1,40
anloga,GH,5.79,0.9,88,26.0,4.6,20
urengoy,RU,65.96,78.37,45,20.23,4.63,22
skibbereen,IE,51.55,-9.27,81,12.0,4.1,75
toora-khem,RU,52.47,96.11,68,18.49,0.53,100
slave lake,CA,55.28,-114.77,64,20.0,2.23,1
kapuskasing,CA,49.42,-82.43,56,22.0,2.1,75
srikakulam,IN,18.29,83.89,83,26.58,4.34,100
saint george,GR,39.45,22.34,68,22.22,1.05,20
along,IN,28.17,94.8,56,23.75,2.27,0
jumla,NP,29.28,82.18,60,18.97,1.29,0
lukulu,ZM,-14.38,23.24,47,10.38,1.59,0
san luis,AR,-33.3,-66.34,42,7.31,4.82,0
aklavik,CA,68.22,-135.01,47,14.0,3.1,75
kadoma,JP,34.73,135.6,94,24.44,1.0,75
comodoro rivadavia,AR,-45.87,-67.48,51,4.0,6.7,0
saint anthony,US,43.97,-111.68,30,27.0,3.1,1
fortuna,US,40.6,-124.16,77,16.67,5.7,90
baruun-urt,MN,46.68,113.28,80,13.63,4.21,100
yebaishou,CN,41.4,119.64,26,26.58,5.97,0
samana,EC,0.12,-76.97,96,21.78,0.72,100
raglan,AU,-23.72,150.82,53,23.0,3.6,11
sulangan,PH,11.14,123.72,64,29.5,2.04,100
faanui,PF,-16.48,-151.75,76,25.37,9.17,86
auki,NG,12.18,6.51,69,25.99,3.55,6
kozhva,RU,65.11,57.05,62,17.36,3.27,99
lata,IN,30.78,78.62,65,7.81,2.22,41
sechura,PE,-5.56,-80.82,87,18.24,7.23,28
pingliang,CN,35.54,106.68,24,31.11,1.34,11
balotra,IN,25.83,72.24,60,31.59,8.48,78
mount gambier,AU,-37.83,140.78,75,13.84,14.96,100
laredo,US,27.51,-99.51,41,35.0,4.1,75
geraldton,CA,49.72,-86.95,49,21.0,6.7,75
eufaula,US,31.89,-85.15,74,27.78,1.5,1
alpena,US,45.06,-83.43,67,19.0,1.5,1
ozernovskiy,RU,51.5,156.52,95,7.0,2.55,96
mudgee,AU,-32.6,149.59,57,11.0,1.51,0
vila franca do campo,PT,37.72,-25.43,82,19.0,1.5,20
chuy,UY,-33.69,-53.46,84,9.29,5.06,10
krasnoarmeysk,RU,56.12,38.15,100,13.89,2.0,0
san jose,HN,14.25,-87.96,96,18.17,0.36,85
cherskiy,RU,68.75,161.3,89,4.37,2.16,100
saint-philippe,CA,45.36,-73.48,72,21.0,2.6,1
bosaso,SO,11.28,49.18,58,31.91,5.64,59
zharkent,KZ,44.17,80.0,42,18.58,2.27,0
laguna,BZ,16.17,-88.94,69,28.0,2.1,75
biharamulo,TZ,-2.64,31.31,62,16.16,1.18,0
wamba,CD,2.14,27.99,97,19.54,0.34,100
praia da vitoria,PT,38.73,-27.07,88,20.0,6.85,20
nehe,CN,48.48,124.88,49,25.15,1.8,0
cockburn town,TC,21.46,-71.14,82,27.86,8.27,0
hambantota,LK,6.12,81.12,100,27.0,4.1,75
clyde river,CA,70.47,-68.59,70,9.0,3.1,20
nieuw nickerie,SR,5.94,-56.99,86,25.68,4.62,100
gravdal,NO,59.79,5.78,93,13.33,7.2,96
biak,ID,-0.91,122.88,94,19.03,1.63,100
kieta,PG,-6.22,155.63,73,27.82,1.76,57
belaya gora,RU,68.54,146.19,28,20.52,2.91,0
formosa,BR,-15.55,-47.33,62,15.84,1.67,0
hovd,NO,63.83,10.7,93,11.67,7.7,75
lasa,CY,34.92,32.53,46,25.0,2.6,0
lompoc,US,34.64,-120.46,72,26.11,6.2,1
christchurch,NZ,-43.53,172.64,75,15.0,1.0,100
khani,GE,41.96,42.96,100,14.0,1.0,75
neuquen,AR,-38.95,-68.06,61,1.0,2.14,0
namibe,AO,-15.19,12.15,74,19.16,5.63,0
bolu,TR,40.73,31.61,87,10.22,1.87,0
teguise,ES,29.06,-13.56,73,21.0,6.2,20
lavrentiya,RU,65.58,-170.99,70,10.4,5.22,100
codrington,AU,-28.95,153.24,88,19.0,2.13,90
jalu,LY,29.03,21.55,49,23.99,6.22,0
hervey bay,AU,-25.3,152.85,56,25.0,6.7,75
nishihara,JP,35.74,139.53,88,25.56,1.5,75
coahuayana,MX,18.62,-100.35,73,23.96,1.38,35
shache,CN,38.42,77.24,58,25.0,0.35,97
ilulissat,GL,69.22,-51.1,80,4.0,1.0,40
bone,DE,51.97,12.14,49,21.11,2.6,0
lewisporte,CA,49.25,-55.06,93,11.67,3.6,75
upington,ZA,-28.46,21.24,66,10.0,4.1,0
bambous virieux,MU,-20.34,57.76,73,21.0,4.1,40
ibra,OM,22.69,58.55,51,28.7,1.32,0
harbour breton,CA,47.48,-55.8,91,11.99,5.46,100
leh,IN,34.16,77.58,49,2.25,1.07,0
mabai,CN,23.01,104.4,71,23.37,1.63,100
chegdomyn,RU,51.13,133.04,37,26.6,2.14,0
corsicana,US,32.09,-96.46,74,27.22,3.08,1
santa cruz de tenerife,ES,28.47,-16.25,87,21.11,6.7,90
el alto,BO,-16.5,-68.19,60,5.0,2.1,0
sitka,US,37.17,-99.65,57,28.33,4.47,0
san cristobal,HN,14.68,-86.92,89,20.34,2.72,100
san ramon,NI,12.92,-85.84,95,19.28,2.48,27
ilebo,CD,-4.33,20.59,43,20.6,0.89,0
kununurra,AU,-15.77,128.74,30,27.0,6.7,3
tecpan,GT,14.76,-90.99,82,20.0,5.1,75
talnakh,RU,69.49,88.39,71,11.0,6.0,0
tuy hoa,VN,13.08,109.3,55,30.47,6.91,96
khandyga,RU,62.65,135.58,31,25.28,1.14,46
tura,RU,64.27,100.22,35,29.13,2.52,36
snezhnogorsk,RU,69.19,33.23,81,6.0,1.0,0
clarksville,US,36.53,-87.36,66,30.0,2.1,1
camargo,MX,27.69,-105.17,16,29.8,3.56,6
buraydah,SA,26.33,43.97,30,29.0,2.83,0
ostrovnoy,RU,68.05,39.51,63,7.65,3.57,0
atambua,ID,-9.11,124.89,72,27.1,2.61,38
eenhana,NA,-17.48,16.34,47,15.0,2.1,0
searcy,US,35.25,-91.74,74,30.0,0.94,1
valencia,ES,39.47,-0.38,73,23.33,1.0,0
pascagoula,US,30.37,-88.56,100,29.0,1.83,1
naron,ES,43.52,-8.15,93,18.33,2.6,90
te anau,NZ,-45.41,167.72,85,9.55,1.61,81
shetpe,KZ,44.14,52.16,63,20.93,5.22,100
marawi,PH,8.0,124.29,72,29.44,0.45,100
port blair,IN,11.67,92.75,81,28.84,10.15,100
kastamonu,TR,41.38,33.78,96,6.75,0.22,0
los llanos de aridane,ES,28.66,-17.92,68,22.0,6.2,90
lae,PG,-6.72,146.98,74,28.0,5.1,40
gonzales,US,36.51,-121.44,49,21.67,2.6,1
rovaniemi,FI,66.5,25.72,70,9.0,3.1,0
mount isa,AU,-20.73,139.49,26,22.0,2.6,0
vilhena,BR,-12.74,-60.15,71,22.07,0.81,0
pevek,RU,69.7,170.27,96,0.42,5.26,100
pangnirtung,CA,66.15,-65.72,47,7.16,1.22,16
jilikul,TJ,37.49,68.53,60,23.0,1.0,0
dumas,IN,21.09,72.71,94,25.0,4.49,75
tilichiki,RU,60.47,166.1,83,10.87,3.3,100
san-pedro,CI,4.75,-6.64,98,21.83,0.63,64
gangapur,IN,19.7,75.01,88,23.0,2.6,75
saldanha,PT,41.42,-6.55,88,17.47,1.29,100
behshahr,IR,36.69,53.54,100,23.0,3.1,90
anju,KP,39.62,125.66,54,24.83,5.86,0
waddan,LY,29.16,16.14,54,23.04,2.77,0
harper,US,30.3,-99.24,69,27.22,4.82,1
taltal,CL,-25.41,-70.49,85,10.73,0.34,100
chapais,CA,49.78,-74.86,64,20.0,3.1,1
balkanabat,TM,39.51,54.36,55,25.25,9.42,0
dingle,PH,11.0,122.67,87,25.78,4.35,100
boa vista,BR,2.82,-60.67,83,27.0,1.5,40
general pico,AR,-35.66,-63.75,58,3.63,1.92,0
luanda,AO,-8.83,13.24,94,20.0,2.6,20
samur,AZ,41.64,48.43,78,13.44,2.42,100
morro bay,US,35.37,-120.85,82,26.67,3.6,1
manado,ID,1.49,124.85,69,28.0,2.1,40
gawler,AU,-34.6,138.75,58,12.78,6.2,0
gannan,CN,47.92,123.49,38,26.68,1.32,41
copainala,MX,17.08,-93.2,69,26.0,5.1,90
coro,VE,11.41,-69.67,81,26.16,9.63,100
de aar,ZA,-30.65,24.01,79,6.62,8.2,100
gazojak,TM,41.19,61.4,16,35.49,2.15,0
tanout,NE,14.97,8.88,28,33.41,4.78,28
petropavlovsk-kamchatskiy,RU,53.05,158.65,76,12.0,5.0,20
tessalit,ML,20.2,1.01,25,30.1,1.67,31
jining,CN,35.41,116.58,10,40.56,4.05,0
leninskiy,RU,51.87,37.55,91,12.49,2.04,65
vaitape,PF,-16.52,-151.75,76,25.37,9.17,86
olga,US,34.11,-118.17,47,31.0,1.5,1
konevo,BG,41.67,25.61,71,17.78,2.35,0
lokot,RU,52.57,34.57,93,13.95,1.69,6
oktyabrskiy,RU,55.61,37.97,82,13.89,2.0,25
balakhninskiy,RU,58.01,114.28,33,28.04,1.74,90
maceio,BR,-9.67,-35.74,78,24.0,2.1,20
tevaitoa,PF,-16.78,-151.5,84,24.17,12.37,100
talcahuano,CL,-36.72,-73.12,93,6.0,2.6,0
leningradskiy,RU,69.38,178.42,97,4.39,2.35,100
zeya,RU,53.74,127.27,31,24.53,3.71,100
hami,CN,42.84,93.51,13,32.49,4.23,92
porecatu,BR,-22.75,-51.38,53,23.0,2.1,0
guaira,BR,-24.09,-54.26,82,19.79,0.54,0
mitu,IR,36.2,46.09,41,18.36,2.38,0
semey,KZ,50.41,80.25,67,15.0,2.0,0
aykhal,RU,65.95,111.51,72,18.0,2.0,90
ejido,VE,8.55,-71.24,83,18.74,1.71,100
parati,BR,-20.51,-54.63,64,23.0,3.1,0
rundu,NA,-17.91,19.77,38,10.66,1.13,0
kattivakkam,IN,13.22,80.32,55,31.0,2.1,75
ponta do sol,BR,-20.63,-46.0,71,15.59,1.15,0
meulaboh,ID,4.14,96.13,74,27.48,1.83,100
hirado,JP,33.32,129.49,94,22.0,3.6,90
grand island,US,40.92,-98.34,58,32.0,3.1,1
requena,ES,39.49,-1.1,73,23.0,1.0,0
college,US,64.86,-147.8,88,22.78,1.53,90
sinnamary,GF,5.38,-52.96,82,26.31,4.57,100
la asuncion,AR,-26.05,-65.39,96,5.59,1.68,100
madimba,CM,4.42,9.93,94,25.0,0.35,75
nelson bay,AU,-32.72,152.14,62,16.67,3.6,0
zaruma,EC,-3.69,-79.61,83,25.0,0.02,75
victor harbor,AU,-35.55,138.62,58,12.78,6.2,0
torbay,CA,47.66,-52.73,100,11.11,2.1,90
datong,CN,40.09,113.3,28,23.83,1.48,17
gotsu,JP,35.01,132.22,78,25.0,2.6,75
richards bay,ZA,-28.77,32.06,50,22.38,10.18,0
gulmarg,IN,34.05,74.39,61,19.84,3.0,0
palmer,AU,-34.85,139.16,58,12.78,6.2,0
hanzhong,CN,33.08,107.03,50,26.85,1.0,0
mujiayingzi,CN,42.12,118.78,34,22.2,5.65,0
hounde,BF,11.5,-3.52,72,25.52,2.39,0
panama city,US,30.16,-85.65,74,28.33,2.1,20
cabo san lucas,MX,22.89,-109.91,51,29.0,2.1,5
pochutla,MX,15.74,-96.47,70,29.44,1.02,75
khao wong,TH,16.69,104.09,83,28.0,1.5,40
jalingo,NG,10.3,10.93,74,26.16,2.48,100
esna,RO,45.2,27.57,72,19.53,1.52,0
greenville,US,34.85,-82.4,83,30.0,2.18,75
hokitika,NZ,-42.72,170.96,78,10.8,4.63,97
pozo colorado,PY,-23.49,-58.8,90,17.08,4.18,100
koosa,EE,58.53,27.08,59,20.0,4.1,0
sorsk,RU,54.0,90.25,96,9.08,3.05,100
sao jose da coroa grande,BR,-8.9,-35.15,94,21.43,1.51,8
ambilobe,MG,-13.19,49.05,70,20.25,4.32,36
kerur,IN,16.02,75.57,76,24.45,6.91,99
tuatapere,NZ,-46.13,167.69,76,12.78,1.79,0
zhanaozen,KZ,43.35,52.85,72,19.2,7.86,100
port hawkesbury,CA,45.62,-61.36,100,12.78,6.2,90
ambon,FR,47.55,-2.56,82,16.67,4.6,0
vila velha,BR,-3.71,-38.6,78,26.0,6.2,75
alta floresta,BR,-9.87,-56.08,62,22.1,1.35,0
talara,PE,-4.58,-81.27,87,19.2,9.02,22
pareora,NZ,-44.49,171.21,61,8.33,1.72,100
kendari,ID,-3.99,122.52,63,30.13,1.13,42
omsukchan,RU,62.53,155.8,61,12.02,1.21,100
vakhrushev,RU,48.99,142.86,81,9.99,2.17,100
inhambane,MZ,-23.87,35.38,89,17.24,1.97,0
zhatay,RU,62.16,129.84,56,20.0,3.0,0
bulod,PH,11.0,124.99,71,29.35,4.33,92
khambhat,IN,22.32,72.62,94,25.0,2.46,75
taber,CA,49.79,-112.14,35,23.0,4.1,75
grindavik,IS,63.84,-22.43,75,9.44,4.6,0
broken hill,AU,-31.97,141.45,50,12.0,4.6,100
ust-kulom,RU,61.69,53.69,78,14.6,2.16,100
newport,US,41.49,-71.31,88,19.44,3.1,1
fairbanks,US,64.84,-147.72,88,22.78,1.53,90
batemans bay,AU,-35.71,150.18,78,14.44,0.89,0
whitecourt,CA,54.14,-115.68,43,23.0,2.6,20
hessisch oldendorf,DE,52.17,9.25,82,18.33,1.5,40
najran,SA,17.54,44.22,33,30.0,1.0,20
myitkyina,MM,25.38,97.4,99,23.35,0.88,100
mehamn,NO,71.03,27.85,66,7.35,4.65,5
humaita,AR,-24.93,-65.37,81,13.0,3.6,90
boshnyakovo,RU,49.65,142.17,83,10.75,2.72,100
colchester,US,41.58,-72.33,82,22.78,2.6,1
naberera,TZ,-4.2,36.93,84,16.08,3.96,95
la paz,MX,24.15,-110.32,46,24.67,3.24,0
williston,US,48.15,-103.62,64,22.0,1.62,20
dudinka,RU,69.41,86.18,71,11.0,6.0,0
taksimo,RU,56.36,114.84,36,23.92,3.37,37
rawlins,US,41.79,-107.24,45,23.0,4.66,90
wewak,PG,-3.55,143.63,67,28.83,2.74,0
kambove,CD,-10.88,26.6,58,10.62,1.45,0
amarkantak,IN,22.67,81.76,61,28.5,3.56,14
srednekolymsk,RU,67.46,153.71,44,15.46,4.81,95
kutum,SD,14.2,24.66,52,25.93,0.63,52
kingaroy,AU,-26.54,151.84,63,20.56,4.1,69
ode,NG,8.45,4.32,95,22.36,3.26,100
esso,RU,55.93,158.7,70,12.15,2.98,100
birkerod,DK,55.85,12.43,87,16.67,6.7,0
pacific grove,US,36.62,-121.92,67,23.89,3.6,20
ahipara,NZ,-35.17,173.16,79,16.56,3.95,18
smithers,CA,54.78,-127.17,47,27.0,1.0,75
mkushi,ZM,-13.61,29.4,62,9.03,1.19,0
urucara,BR,-2.54,-57.76,82,24.3,0.66,82
margate,AU,-43.03,147.26,42,17.22,7.7,20
barranca,PE,-10.75,-77.76,89,17.38,8.03,88
zhigansk,RU,66.77,123.37,41,22.81,7.32,100
kifri,IQ,34.69,44.96,16,27.64,3.02,0
metro,ID,-5.11,105.31,72,28.22,3.1,4
boden,SE,65.83,21.69,93,10.0,3.6,100
nawa,IN,27.02,75.0,55,31.94,8.35,95
